iter	Passed	Remaining
661	79926	2334778
662	79947	2331743
663	79960	2328487
664	79973	2325237
665	79987	2322027
666	80003	2318907
667	80017	2315706
668	80030	2312519
669	80043	2309312
670	80055	2306091
671	80066	2302873
672	80078	2299667
673	80090	2296473
674	80105	2293405
675	80118	2290257
676	80131	2287131
677	80144	2283996
678	80156	2280865
679	80169	2277743
680	80181	2274626
681	80193	2271528
682	80206	2268445
683	80219	2265391
684	80233	2262342
685	80246	2259297
686	80257	2256217
687	80269	2253144
688	80281	2250105
689	80293	2247042
690	80305	2244029
691	80322	2241129
692	80335	2238160
693	80348	2235176
694	80360	2232178
695	80372	2229175
696	80384	2226188
697	80395	2223194
698	80406	2220210
699	80423	2217384
700	80434	2214428
701	80448	2211521
702	80460	2208590
703	80472	2205674
704	80484	2202762
705	80496	2199857
706	80507	2196944
707	80522	2194137
708	80539	2191379
709	80554	2188589
710	80567	2185756
711	80580	2182926
712	80592	2180079
713	80604	2177226
714	80617	2174419
715	80632	2171672
716	80647	2168935
717	80660	2166143
718	80672	2163344
719	80684	2160546
720	80697	2157784
721	80709	2154998
722	80720	2152215
723	80733	2149463
724	80748	2146798
725	80762	2144098
726	80775	2141372
727	80787	2138654
728	80800	2135936
729	80811	2133203
730	80823	2130482
731	80835	2127775
732	80852	2125207
733	80865	2122554
734	80879	2119934
735	80894	2117334
736	80911	2114776
737	80925	2112180
738	80941	2109634
739	80964	2107260
740	80988	2104924
741	81004	2102403
742	81018	2099830
743	81033	2097282
744	83417	2155977
745	83432	2153359
746	83448	2150771
747	83475	2148478
748	83488	2145835
749	83500	2143183
750	83513	2140551
751	83526	2137921
752	83543	2135397
753	83561	2132911
754	83574	2130325
755	83587	2127731
756	83600	2125124
757	83612	2122513
758	83624	2119926
759	83641	2117438
760	83653	2114873
761	83667	2112318
762	83679	2109748
763	83691	2107193
764	83703	2104628
765	83714	2102046
766	83726	2099483
767	83738	2096953
768	83755	2094534
769	83769	2092057
770	83781	2089536
771	83793	2087032
772	83806	2084527
773	83817	2082014
774	83828	2079495
775	83842	2077052
776	83855	2074593
777	83869	2072154
778	83882	2069700
779	83894	2067239
780	83908	2064840
781	83922	2062422
782	83942	2060183
783	83959	2057863
784	83972	2055465
785	83987	2053095
786	84001	2050714
787	84015	2048361
788	84031	2046043
789	84045	2043689
790	84059	2041333
791	84071	2038947
792	84083	2036561
793	84095	2034182
794	84107	2031809
795	84134	2029795
796	84148	2027478
797	84161	2025155
798	84173	2022798
799	84185	2020459
800	84197	2018122
801	84209	2015782
802	84221	2013446
803	84235	2011181
804	84249	2008904
805	84262	2006610
806	84274	2004307
807	84285	2001997
808	84297	1999696
809	84308	1997390
810	84320	1995109
811	84332	1992833
812	84351	1990709
813	84364	1988466
814	84377	1986225
815	84388	1983957
816	84400	1981697
817	84411	1979448
818	84425	1977252
819	84439	1975056
820	84457	1972966
821	84469	1970758
822	84483	1968574
823	86652	2016556
824	86665	2014317
825	86678	2012076
826	86691	2009844
827	86704	2007607
828	86721	2005480
829	86734	2003244
830	86746	2001007
831	86758	1998778
832	86770	1996551
833	86781	1994314
834	86794	1992106
835	86810	1989988
836	86822	1987789
837	86835	1985612
838	86848	1983440
839	86860	1981238
840	86871	1979043
841	86883	1976848
842	86894	1974652
843	86914	1972666
844	86928	1970544
845	86941	1968410
846	86953	1966260
847	86965	1964114
848	86978	1961982
849	87000	1960079
850	87016	1958015
851	87030	1955941
852	87044	1953852
853	87056	1951732
854	87068	1949618
855	87080	1947514
856	87097	1945526
857	87110	1943437
858	87121	1941328
859	87134	1939242
860	87146	1937162
861	87158	1935086
862	87170	1932994
863	87180	1930896
864	87196	1928901
865	87224	1927196
866	87236	1925149
867	87265	1923459
868	87280	1921481
869	87294	1919481
870	87307	1917453
871	87319	1915418
872	87331	1913394
873	87343	1911365
874	87355	1909333
875	87367	1907315
876	87382	1905386
877	87396	1903407
878	87409	1901426
879	87421	1899435
880	87433	1897439
881	87445	1895455
882	87458	1893483
883	87470	1891502
884	87485	1889577
885	87500	1887669
886	87511	1885691
887	87524	1883748
888	87536	1881784
889	87549	1879846
890	87561	1877907
891	87574	1875970
892	87590	1874118
893	87602	1872186
894	87614	1870254
895	87626	1868317
896	87638	1866398
897	87651	1864496
898	87665	1862621
899	87679	1860752
900	87696	1858950
901	87713	1857152
902	87726	1855281
903	87741	1853442
904	89943	1897756
905	89958	1895878
906	89975	1894043
907	89988	1892146
908	90002	1890257
909	90017	1888399
910	90031	1886508
911	90047	1884680
912	90065	1882882
913	90078	1880995
914	90093	1879154
915	90104	1877252
916	90119	1875416
917	90142	1873736
918	90155	1871888
919	90169	1870038
920	90182	1868169
921	90195	1866322
922	90207	1864448
923	90219	1862580
924	90235	1860807
925	90248	1858971
926	90262	1857141
927	90276	1855336
928	90289	1853510
929	90302	1851678
930	90313	1849830
931	90328	1848044
932	90341	1846241
933	90354	1844424
934	90366	1842602
935	90379	1840813
936	90390	1838965
937	90400	1837106
938	90415	1835359
939	90427	1833563
940	90439	1831757
941	90451	1829959
942	90463	1828169
943	90475	1826388
944	90487	1824584
945	90498	1822785
946	90515	1821103
947	90528	1819353
948	90540	1817574
949	90550	1815784
950	90562	1814018
951	90575	1812262
952	90586	1810489
953	90601	1808793
954	90613	1807048
955	90625	1805309
956	90637	1803561
957	90648	1801809
958	90660	1800068
959	90671	1798326
960	90686	1796658
961	90704	1795037
962	90715	1793302
963	90725	1791554
964	90738	1789845
965	90749	1788122
966	90760	1786402
967	90776	1784768
968	90789	1783088
969	90800	1781372
970	90812	1779672
971	90822	1777955
972	90833	1776254
973	90844	1774550
974	90858	1772911
975	90872	1771260
976	90883	1769582
977	90895	1767908
978	90907	1766233
979	90918	1764558
980	90928	1762867
981	93164	1804285
982	93179	1802633
983	93191	1800940
984	93203	1799245
985	93219	1797635
986	93232	1795980
987	93248	1794366
988	93260	1792697
989	93274	1791050
990	93287	1789408
991	93302	1787787
992	93319	1786223
993	93332	1784577
994	93343	1782909
995	93354	1781239
996	93366	1779580
997	93379	1777952
998	93395	1776381
999	93409	1774772
1000	93420	1773124
1001	93432	1771490
1002	93443	1769840
1003	93454	1768194
1004	93465	1766540
1005	93481	1764988
1006	93494	1763397
1007	93506	1761782
1008	93518	1760170
1009	93529	1758548
1010	93541	1756925
1011	93552	1755305
1012	93568	1753778
1013	93580	1752189
1014	93591	1750583
1015	93603	1748977
1016	93614	1747382
1017	93625	1745774
1018	93636	1744177
1019	93652	1742676
1020	93665	1741110
1021	93677	1739535
1022	93688	1737946
1023	93697	1736339
1024	93712	1734819
1025	93727	1733327
1026	93740	1731784
1027	93752	1730219
1028	93764	1728676
1029	93775	1727105
1030	93786	1725546
1031	93797	1723976
1032	93810	1722461
1033	93823	1720949
1034	93834	1719397
1035	93845	1717852
1036	93857	1716308
1037	93868	1714773
1038	93880	1713244
1039	93894	1711760
1040	93907	1710275
1041	93919	1708759
1042	93932	1707259
1043	93942	1705725
1044	93954	1704210
1045	93965	1702693
1046	93977	1701191
1047	93994	1699787
1048	94008	1698335
1049	94021	1696855
1050	94031	1695346
1051	94043	1693851
1052	94054	1692364
1053	94066	1690880
1054	94081	1689450
1055	94094	1687997
1056	94106	1686522
1057	94116	1685027
1058	94127	1683547
1059	94137	1682050
1060	94148	1680560
1061	96185	1715222
1062	96196	1713708
1063	96213	1712304
1064	96226	1710838
1065	96238	1709361
1066	96250	1707891
1067	96264	1706441
1068	96276	1704959
1069	96292	1703561
1070	96304	1702098
1071	96315	1700614
1072	96326	1699139
1073	96338	1697667
1074	96349	1696199
1075	96361	1694739
1076	96376	1693339
1077	96389	1691906
1078	96401	1690474
1079	96414	1689040
1080	96425	1687578
1081	96436	1686121
1082	96450	1684714
1083	96461	1683278
1084	96474	1681856
1085	96484	1680398
1086	96496	1678964
1087	96508	1677546
1088	96519	1676105
1089	96533	1674717
1090	96546	1673324
1091	96557	1671896
1092	96569	1670477
1093	96579	1669046
1094	96591	1667629
1095	96602	1666217
1096	96616	1664844
1097	96631	1663510
1098	96643	1662108
1099	96655	1660716
1100	96666	1659316
1101	96677	1657912
1102	96688	1656509
1103	96703	1655174
1104	96716	1653800
1105	96727	1652420
1106	96740	1651056
1107	96751	1649667
1108	96763	1648297
1109	96774	1646917
1110	96791	1645626
1111	96803	1644260
1112	96815	1642907
1113	96827	1641552
1114	96839	1640186
1115	96850	1638819
1116	96864	1637506
1117	96878	1636187
1118	96889	1634831
1119	96901	1633485
1120	96912	1632126
1121	96923	1630769
1122	96940	1629513
1123	96954	1628209
1124	96966	1626880
1125	96978	1625558
1126	96990	1624218
1127	97002	1622892
1128	97018	1621640
1129	97031	1620335
1130	97043	1619014
1131	97055	1617706
1132	97072	1616468
1133	97088	1615228
1134	97101	1613942
1135	97113	1612627
1136	97123	1611297
1137	97134	1609974
1138	97145	1608664
1139	97157	1607358
1140	97172	1606113
1141	97184	1604828
1142	99136	1635541
1143	99149	1634231
1144	99161	1632915
1145	99174	1631614
1146	99190	1630377
1147	99204	1629100
1148	99217	1627801
1149	99230	1626518
1150	99241	1625201
1151	99252	1623884
1152	99263	1622566
1153	99276	1621286
1154	99288	1619995
1155	99301	1618712
1156	99312	1617410
1157	99323	1616107
1158	99335	1614817
1159	99345	1613516
1160	99359	1612252
1161	99370	1610963
1162	99381	1609666
1163	99391	1608369
1164	99405	1607123
1165	99417	1605849
1166	99427	1604565
1167	99444	1603371
1168	99457	1602124
1169	99468	1600852
1170	99478	1599561
1171	99490	1598293
1172	99500	1597017
1173	99513	1595773
1174	99527	1594551
1175	99539	1593306
1176	99549	1592034
1177	99561	1590778
1178	99572	1589521
1179	99583	1588264
1180	99598	1587075
1181	99610	1585839
1182	99621	1584595
1183	99633	1583370
1184	99645	1582134
1185	99655	1580882
1186	99666	1579632
1187	99682	1578469
1188	99694	1577256
1189	99706	1576032
1190	99718	1574809
1191	99729	1573591
1192	99742	1572392
1193	99759	1571246
1194	99773	1570069
1195	99785	1568872
1196	99799	1567697
1197	99812	1566498
1198	99823	1565296
1199	99835	1564093
1200	99853	1562984
1201	99866	1561809
1202	99877	1560597
1203	99888	1559396
1204	99899	1558187
1205	99910	1556975
1206	99920	1555764
1207	99937	1554655
1208	99948	1553464
1209	99959	1552267
1210	99974	1551131
1211	99986	1549956
1212	99997	1548769
1213	100009	1547591
1214	100027	1546511
1215	100040	1545362
1216	100052	1544193
1217	100063	1543018
1218	100077	1541876
1219	100088	1540714
1220	100100	1539542
1221	100117	1538463
1222	102063	1567006
1223	102079	1565886
1224	102093	1564738
1225	102106	1563585
1226	102118	1562408
1227	102131	1561251
1228	102143	1560074
1229	102159	1558975
1230	102170	1557790
1231	102184	1556652
1232	102196	1555493
1233	102209	1554344
1234	102220	1553173
1235	102235	1552054
1236	102249	1550942
1237	102262	1549793
1238	102273	1548637
1239	102285	1547487
1240	102298	1546348
1241	102311	1545219
1242	102325	1544095
1243	102336	1542946
1244	102348	1541808
1245	102359	1540653
1246	102371	1539512
1247	102383	1538371
1248	102399	1537306
1249	102411	1536165
1250	102424	1535051
1251	102436	1533922
1252	102448	1532797
1253	102460	1531675
1254	102477	1530624
1255	102489	1529509
1256	102500	1528378
1257	102511	1527245
1258	102523	1526121
1259	102533	1524985
1260	102548	1523910
1261	102561	1522822
1262	102573	1521712
1263	102584	1520592
1264	102596	1519480
1265	102606	1518351
1266	102617	1517226
1267	102632	1516178
1268	102644	1515085
1269	102657	1513989
1270	102669	1512899
1271	102681	1511811
1272	102692	1510693
1273	102702	1509581
1274	102713	1508485
1275	102725	1507392
1276	102737	1506307
1277	102748	1505214
1278	102761	1504135
1279	102771	1503030
1280	102786	1502005
1281	102799	1500933
1282	102810	1499851
1283	102822	1498775
1284	102833	1497690
1285	102844	1496606
1286	102861	1495614
1287	102875	1494565
1288	102887	1493507
1289	102898	1492433
1290	102911	1491374
1291	102922	1490299
1292	102936	1489279
1293	102950	1488245
1294	102962	1487184
1295	102976	1486167
1296	102987	1485101
1297	102999	1484053
1298	103011	1483004
1299	103029	1482037
1300	103042	1481008
1301	103055	1479974
1302	103067	1478931
1303	103079	1477889
1304	103093	1476885
1305	103109	1475905
1306	103124	1474904
1307	103136	1473872
1308	104936	1498372
1309	104955	1497415
1310	104970	1496411
1311	104983	1495375
1312	104997	1494355
1313	105012	1493349
1314	105029	1492372
1315	105042	1491346
1316	105057	1490352
1317	105071	1489334
1318	105088	1488368
1319	105102	1487361
1320	105115	1486340
1321	105127	1485298
1322	105138	1484261
1323	105153	1483265
1324	105169	1482292
1325	105183	1481291
1326	105197	1480299
1327	105209	1479274
1328	105222	1478261
1329	105234	1477236
1330	105249	1476259
1331	105262	1475254
1332	105277	1474279
1333	105289	1473268
1334	105301	1472247
1335	105312	1471217
1336	105328	1470259
1337	105340	1469249
1338	105353	1468265
1339	105375	1467397
1340	105388	1466401
1341	105404	1465457
1342	105416	1464446
1343	105427	1463436
1344	105440	1462449
1345	105451	1461441
1346	105462	1460427
1347	105479	1459496
1348	105490	1458485
1349	105502	1457497
1350	105514	1456499
1351	105524	1455491
1352	105534	1454478
1353	105548	1453520
1354	105560	1452526
1355	105572	1451548
1356	105583	1450554
1357	105595	1449566
1358	105606	1448568
1359	105622	1447647
1360	105634	1446676
1361	105646	1445692
1362	105656	1444692
1363	105668	1443716
1364	105678	1442729
1365	105693	1441795
1366	105706	1440841
1367	105718	1439874
1368	105729	1438899
1369	105742	1437938
1370	105753	1436970
1371	105767	1436039
1372	105781	1435093
1373	105792	1434120
1374	105803	1433155
1375	105814	1432189
1376	105825	1431220
1377	105840	1430310
1378	105852	1429352
1379	105863	1428391
1380	105875	1427436
1381	105885	1426472
1382	105896	1425512
1383	105910	1424590
1384	105922	1423640
1385	107809	1447878
1386	107821	1446922
1387	107833	1445968
1388	107846	1445017
1389	107858	1444064
1390	107871	1443117
1391	107885	1442196
1392	107898	1441259
1393	107913	1440346
1394	107926	1439410
1395	107941	1438500
1396	107957	1437610
1397	107971	1436681
1398	107983	1435738
1399	107996	1434806
1400	108009	1433880
1401	108022	1432960
1402	108038	1432073
1403	108052	1431154
1404	108064	1430214
1405	108076	1429290
1406	108087	1428341
1407	108104	1427468
1408	108116	1426543
1409	108128	1425606
1410	108139	1424673
1411	108151	1423733
1412	108166	1422851
1413	108179	1421939
1414	108190	1421005
1415	108201	1420069
1416	108212	1419132
1417	108223	1418207
1418	108239	1417335
1419	108251	1416421
1420	108262	1415489
1421	108273	1414566
1422	108285	1413651
1423	108300	1412775
1424	108313	1411877
1425	108326	1410976
1426	108338	1410066
1427	108349	1409156
1428	108361	1408240
1429	108377	1407395
1430	108389	1406490
1431	108401	1405585
1432	108412	1404678
1433	108424	1403775
1434	108435	1402866
1435	108451	1402014
1436	108462	1401108
1437	108475	1400221
1438	108486	1399314
1439	108497	1398412
1440	108508	1397512
1441	108524	1396669
1442	108537	1395789
1443	108549	1394909
1444	108562	1394027
1445	108575	1393165
1446	108591	1392327
1447	108604	1391458
1448	108616	1390571
1449	108628	1389693
1450	108639	1388802
1451	108653	1387957
1452	108670	1387141
1453	108684	1386288
1454	108697	1385428
1455	108708	1384543
1456	108720	1383662
1457	108734	1382823
1458	108746	1381951
1459	108757	1381076
1460	108769	1380204
1461	108779	1379317
1462	108791	1378443
1463	110832	1403269
1464	110846	1402412
1465	110862	1401588
1466	110876	1400728
1467	110889	1399868
1468	110904	1399023
1469	110921	1398211
1470	110935	1397365
1471	110949	1396511
1472	110961	1395644
1473	110973	1394777
1474	110989	1393955
1475	111004	1393127
1476	111017	1392269
1477	111032	1391432
1478	111044	1390574
1479	111060	1389751
1480	111072	1388890
1481	111084	1388029
1482	111095	1387158
1483	111106	1386291
1484	111117	1385414
1485	111131	1384586
1486	111143	1383724
1487	111154	1382859
1488	111166	1382004
1489	111177	1381132
1490	111190	1380302
1491	111203	1379460
1492	111215	1378615
1493	111227	1377759
1494	111238	1376906
1495	111249	1376049
1496	111266	1375254
