iter	RMSE
0	0.2064181533
1	0.1976930482
2	0.1894165959
3	0.1815796969
4	0.1742453819
5	0.1672455685
6	0.1606955393
7	0.1545134163
8	0.1486398734
9	0.1431493921
10	0.1379352532
11	0.1330287642
12	0.1284030475
13	0.1240884848
14	0.1200079289
15	0.1161576971
16	0.1125678405
17	0.1091887012
18	0.1060181351
19	0.1030450077
20	0.1002812659
21	0.09769623901
22	0.09529139046
23	0.09304976774
24	0.09097707722
25	0.08901376078
26	0.08716868269
27	0.08546567582
28	0.08382244942
29	0.08230769973
30	0.08090255254
31	0.07962477838
32	0.07840816704
33	0.07726418916
34	0.07619716253
35	0.07525216153
36	0.07434422471
37	0.07346693081
38	0.07269209793
39	0.07197876649
40	0.07131062879
41	0.07068038208
42	0.07009699044
43	0.06951940248
44	0.06900765536
45	0.06853735121
46	0.06808493632
47	0.06766441642
48	0.06724915797
49	0.06685555791
50	0.06647587098
51	0.0661478556
52	0.06582949484
53	0.06553647488
54	0.0652584125
55	0.06500953569
56	0.06476799652
57	0.0645165951
58	0.06430644788
59	0.06411156533
60	0.06391959867
61	0.06373174916
62	0.06354309383
63	0.06334094877
64	0.06315027561
65	0.06297797422
66	0.06283676309
67	0.06267101392
68	0.06252450094
69	0.06236721214
70	0.06223386962
71	0.06211527421
72	0.06199119866
73	0.06186752527
74	0.06171634209
75	0.06160881313
76	0.06151131922
77	0.06141337306
78	0.06130174774
79	0.06121035635
80	0.06113188884
81	0.061027197
82	0.06092874291
83	0.06083190418
84	0.06073360524
85	0.06065422661
86	0.06058033483
87	0.06052189877
88	0.06043498956
89	0.06036372537
90	0.06027143751
91	0.06019891291
92	0.06014223961
93	0.06007986902
94	0.0600108401
95	0.05995033678
96	0.05988306999
97	0.05978713498
98	0.05972916494
99	0.05967758411
100	0.05962317773
101	0.05956586371
102	0.05949512411
103	0.05944237158
104	0.0593872603
105	0.05932723852
106	0.05926703218
107	0.05920457651
108	0.05915447792
109	0.05904982422
110	0.05900372051
111	0.05895402408
112	0.05887884955
113	0.05883599943
114	0.05877557248
115	0.05872578904
116	0.05867353135
117	0.05862805951
118	0.05855357509
119	0.05849740643
120	0.05843670278
121	0.05837685829
122	0.05832988337
123	0.05828249774
124	0.05824221745
125	0.05816319135
126	0.05812225211
127	0.05808144129
128	0.05804349666
129	0.05798992483
130	0.05793549599
131	0.05789047489
132	0.05783386565
133	0.05778236067
134	0.05771295556
135	0.0576533681
136	0.0576114828
137	0.05757074504
138	0.05752926391
139	0.05748982574
140	0.05744345545
141	0.05739867295
142	0.05736459808
143	0.05732797041
144	0.05728469954
145	0.05724087367
146	0.05719103695
147	0.05715093673
148	0.05709374453
149	0.05705819709
150	0.05702078763
151	0.05698472349
152	0.05693878291
153	0.05687638414
154	0.0568379029
155	0.0567980456
156	0.0567708539
157	0.0567252525
158	0.05669255263
159	0.05666530787
160	0.05662304855
161	0.05659134864
162	0.05656272644
163	0.05651366074
164	0.05648042179
165	0.05644344105
166	0.05640520918
167	0.05635211354
168	0.05631932973
169	0.05626404492
170	0.05622027276
171	0.05618398547
172	0.05613076687
173	0.05609237124
174	0.0560616674
175	0.05601605449
176	0.05597279808
177	0.05594122699
178	0.05589037751
179	0.05584994562
180	0.0557856566
181	0.05572768663
182	0.05567465585
183	0.05563215901
184	0.05559751429
185	0.05556714726
186	0.05553825642
187	0.05550648555
188	0.0554737484
189	0.05543816334
190	0.05540357719
191	0.05537322378
192	0.05533038285
193	0.05529252031
194	0.05525794569
195	0.05521458918
196	0.05517891726
197	0.05514525779
198	0.05510835807
199	0.05507912606
200	0.0550427
201	0.05500632531
202	0.05495324317
203	0.05490892517
204	0.05487844697
205	0.05484561254
206	0.05481766445
207	0.05478056428
208	0.05474862169
209	0.05471926327
210	0.05468812765
211	0.05464474455
212	0.05461707127
213	0.05459045135
214	0.05455159319
215	0.05452638564
216	0.05449339495
217	0.05446213529
218	0.05443945675
219	0.05440983993
220	0.05436954423
221	0.05433771917
222	0.05430148396
223	0.05427650196
224	0.05423325917
225	0.05420046544
226	0.05417552372
227	0.05414579577
228	0.05411530466
229	0.05406802163
230	0.05403703585
231	0.05400694976
232	0.05396089274
233	0.05392453265
234	0.05390105016
235	0.05388023161
236	0.05384675765
237	0.05380770453
238	0.05377947442
239	0.05375539302
240	0.05372535274
241	0.05369281848
242	0.05366182496
243	0.05363008318
244	0.05360753545
245	0.05357386268
246	0.05354244358
247	0.05351810294
248	0.05347770729
249	0.05344562827
250	0.05341426848
251	0.0533825947
252	0.05336483153
253	0.05332471689
254	0.05329668282
255	0.05326059431
256	0.0532396865
257	0.05321697596
258	0.05319247078
259	0.05316334123
260	0.05313562316
261	0.05310831802
262	0.05308645598
263	0.05304881299
264	0.05302573358
265	0.05300795004
266	0.05297715936
267	0.05294431174
268	0.05292094614
269	0.05289256984
270	0.05287165
271	0.05284823657
272	0.05280835591
273	0.05278437162
274	0.05274466047
275	0.05271558541
276	0.05269017196
277	0.0526608145
278	0.05263032565
279	0.05260036381
280	0.05257616881
281	0.05253981722
282	0.05252208525
283	0.05249268388
284	0.05246146151
285	0.05243863035
286	0.05241800199
287	0.0523868857
288	0.05235878566
289	0.05232287029
290	0.05230345059
291	0.05227646007
292	0.05224289106
293	0.05221546633
294	0.05219492743
295	0.05217529565
296	0.05214682414
297	0.05212224601
298	0.05210471725
299	0.05208535174
300	0.05206229451
301	0.05203400854
302	0.05200970442
303	0.05198460884
304	0.05195426662
305	0.05192250457
306	0.05189463314
307	0.05187432208
