pid,year,shape_score,shape_flag,shape_direction,shape_reasons,has_episode
AOI-0003,2024,0.401201896973747,False,слабее нормы,средний Z -0.6; суммарная вегетация 81% нормы; спад сдвинут на -16 дн.,True
AOI-0003,2025,0.3885544145307242,False,сильнее нормы,пик сдвинут на -24 дн.; амплитуда 0.66; дней ниже нормы 0%,False
AOI-0004,2010,0.5920698794000409,True,слабее нормы,пик сдвинут на +82 дн.; спад сдвинут на +61 дн.; дней ниже нормы 50%,True
AOI-0004,2011,0.5241106320947108,False,слабее нормы,средний Z -1.5; дней ниже нормы 52%; старт роста сдвинут на +31 дн.,True
AOI-0004,2012,0.40397880449508244,False,слабее нормы,спад сдвинут на -27 дн.; амплитуда 0.36; средний Z -0.4,True
AOI-0004,2013,0.4787427275535464,False,слабее нормы,спад сдвинут на +60 дн.; пик сдвинут на +49 дн.; амплитуда 0.33,True
AOI-0004,2014,0.4397579962231317,False,слабее нормы,дней ниже нормы 45%; средний Z -0.6; старт роста сдвинут на -12 дн.,True
AOI-0004,2015,0.3911575220378378,False,слабее нормы,спад сдвинут на +23 дн.; дней ниже нормы 20%; средний Z -0.2,True
AOI-0004,2016,0.390710351201066,False,сильнее нормы,средний Z +0.5; суммарная вегетация 109% нормы; старт роста сдвинут на -6 дн.,False
AOI-0004,2017,0.39196078984897403,False,сильнее нормы,средний Z +0.6; дней ниже нормы 2%; старт роста сдвинут на +9 дн.,False
AOI-0004,2018,0.40339182482182845,False,слабее нормы,средний Z -0.5; пик 93% нормы; амплитуда 0.37,True
AOI-0004,2019,0.39160510318981984,False,сильнее нормы,спад сдвинут на -27 дн.; средний Z +0.4; амплитуда 0.39,False
AOI-0004,2020,0.38462734233452467,False,слабее нормы,спад сдвинут на +15 дн.; старт роста сдвинут на +9 дн.; пик сдвинут на +9 дн.,False
AOI-0004,2021,0.37400009836928994,False,сильнее нормы,средний Z +0.3; старт роста сдвинут на +6 дн.; дней ниже нормы 6%,False
AOI-0004,2022,0.39166564878475335,False,сильнее нормы,средний Z +0.8; дней ниже нормы 0%; суммарная вегетация 109% нормы,False
AOI-0004,2023,0.44033722922398416,False,сильнее нормы,средний Z +1.3; спад сдвинут на +27 дн.; суммарная вегетация 115% нормы,False
AOI-0004,2024,0.393646102499311,False,слабее нормы,амплитуда 0.33; пик 93% нормы; дней ниже нормы 0%,False
AOI-0004,2025,0.41289936063619,False,слабее нормы,амплитуда 0.33; пик 93% нормы; старт роста сдвинут на -11 дн.,True
AOI-0005,2010,0.5866059772860369,True,слабее нормы,дней ниже нормы 94%; средний Z -2.2; суммарная вегетация 62% нормы,True
AOI-0005,2011,0.39162307983686995,False,слабее нормы,старт роста сдвинут на +20 дн.; спад сдвинут на -17 дн.; амплитуда 0.47,True
AOI-0005,2012,0.46508298385383784,False,слабее нормы,дней ниже нормы 48%; средний Z -1.2; суммарная вегетация 79% нормы,True
AOI-0005,2013,0.4378881768887446,False,слабее нормы,дней ниже нормы 33%; спад сдвинут на -33 дн.; старт роста сдвинут на -13 дн.,True
AOI-0005,2014,0.4300266006992831,False,слабее нормы,спад сдвинут на +25 дн.; старт роста сдвинут на -12 дн.; дней ниже нормы 25%,True
AOI-0005,2015,0.3874482365743136,False,сильнее нормы,спад сдвинут на +26 дн.; старт роста сдвинут на +10 дн.; пик сдвинут на +13 дн.,True
AOI-0005,2016,0.39691012733506786,False,сильнее нормы,средний Z +0.6; спад сдвинут на +22 дн.; дней ниже нормы 0%,False
AOI-0005,2017,0.4092068260935384,False,сильнее нормы,средний Z +0.5; спад сдвинут на +19 дн.; старт роста сдвинут на +12 дн.,False
AOI-0005,2018,0.3946092975536178,False,слабее нормы,амплитуда 0.33; пик 91% нормы; пик сдвинут на -13 дн.,False
AOI-0005,2019,0.3884258999220761,False,сильнее нормы,средний Z +0.7; дней ниже нормы 0%; суммарная вегетация 112% нормы,False
AOI-0005,2020,0.39524967210644996,False,сильнее нормы,спад сдвинут на +27 дн.; старт роста сдвинут на +11 дн.; пик сдвинут на +16 дн.,True
AOI-0005,2021,0.37849226629021243,False,сильнее нормы,дней ниже нормы 0%; средний Z +0.4; спад сдвинут на +9 дн.,False
AOI-0005,2022,0.3891488737343644,False,сильнее нормы,средний Z +0.7; дней ниже нормы 0%; суммарная вегетация 113% нормы,False
AOI-0005,2023,0.4279173562476565,False,сильнее нормы,спад сдвинут на +38 дн.; средний Z +0.8; пик сдвинут на +19 дн.,False
AOI-0005,2024,0.41340924673110174,False,слабее нормы,пик сдвинут на -19 дн.; дней ниже нормы 0%; старт роста сдвинут на -10 дн.,False
AOI-0005,2025,0.4140597684931225,False,слабее нормы,пик 91% нормы; старт роста сдвинут на -12 дн.; амплитуда 0.38,True
AOI-0006,2010,0.40650016469470907,False,слабее нормы,спад сдвинут на -39 дн.; дней ниже нормы 31%; амплитуда 0.66,True
AOI-0006,2011,0.43093336126905296,False,слабее нормы,старт роста сдвинут на +36 дн.; пик сдвинут на +35 дн.; дней ниже нормы 25%,True
AOI-0006,2012,0.43853498507414657,False,слабее нормы,спад сдвинут на -48 дн.; пик сдвинут на -37 дн.; амплитуда 0.67,True
AOI-0006,2013,0.4486575523469516,False,сильнее нормы,старт роста сдвинут на +45 дн.; средний Z +0.7; пик сдвинут на +22 дн.,False
AOI-0006,2014,0.4690911458463595,False,слабее нормы,дней ниже нормы 53%; спад сдвинут на -47 дн.; пик сдвинут на -34 дн.,True
AOI-0006,2015,0.4091998713014293,False,слабее нормы,спад сдвинут на -37 дн.; старт роста сдвинут на +17 дн.; амплитуда 0.63,False
AOI-0006,2016,0.4718738961688552,False,сильнее нормы,старт роста сдвинут на +43 дн.; средний Z +0.9; пик сдвинут на +26 дн.,False
AOI-0006,2017,0.4629951520278701,False,слабее нормы,старт роста сдвинут на +47 дн.; дней ниже нормы 33%; пик сдвинут на +28 дн.,True
AOI-0006,2018,0.4668989382220749,False,слабее нормы,старт роста сдвинут на +43 дн.; пик сдвинут на +41 дн.; дней ниже нормы 34%,True
AOI-0006,2019,0.44195598437475814,False,слабее нормы,спад сдвинут на -45 дн.; амплитуда 0.71; дней ниже нормы 32%,True
AOI-0006,2020,0.4337455299545077,False,слабее нормы,старт роста сдвинут на +43 дн.; спад сдвинут на +23 дн.; дней ниже нормы 28%,False
AOI-0006,2021,0.4416044906276127,False,слабее нормы,спад сдвинут на -40 дн.; амплитуда 0.71; дней ниже нормы 28%,True
AOI-0006,2022,0.40653697326457955,False,сильнее нормы,спад сдвинут на -40 дн.; амплитуда 0.66; пик 137% нормы,False
AOI-0006,2023,0.48877612630973105,False,сильнее нормы,пик сдвинут на +62 дн.; спад сдвинут на +40 дн.; средний Z +0.8,True
AOI-0006,2024,0.4199578014096276,False,слабее нормы,спад сдвинут на -45 дн.; пик сдвинут на -33 дн.; амплитуда 0.64,False
AOI-0006,2025,0.44629164182238606,False,слабее нормы,старт роста сдвинут на +49 дн.; пик сдвинут на +19 дн.; суммарная вегетация 87% нормы,False
AOI-0007,2010,0.36996801411919183,False,сильнее нормы,дней ниже нормы 0%; спад сдвинут на -15 дн.; суммарная вегетация 107% нормы,False
AOI-0007,2011,0.48847763879747025,False,слабее нормы,старт роста сдвинут на +41 дн.; пик сдвинут на +51 дн.; спад сдвинут на +46 дн.,True
AOI-0007,2012,0.42227345187430465,False,слабее нормы,старт роста сдвинут на +21 дн.; суммарная вегетация 81% нормы; пик сдвинут на -21 дн.,False
AOI-0007,2013,0.42626308242260824,False,слабее нормы,старт роста сдвинут на +32 дн.; пик сдвинут на +34 дн.; спад сдвинут на +36 дн.,False
AOI-0007,2014,0.3852076272132135,False,слабее нормы,амплитуда 0.63; средний Z -0.4; пик 133% нормы,True
AOI-0007,2015,0.37836662724515463,False,слабее нормы,дней ниже нормы 0%; пик 126% нормы; амплитуда 0.55,False
AOI-0007,2016,0.48570902135997274,False,сильнее нормы,спад сдвинут на +60 дн.; пик сдвинут на +50 дн.; старт роста сдвинут на +28 дн.,False
AOI-0007,2017,0.3893477832662395,False,слабее нормы,средний Z -0.4; суммарная вегетация 88% нормы; старт роста сдвинут на +9 дн.,False
AOI-0007,2018,0.5114191154590011,False,слабее нормы,пик 41% нормы; суммарная вегетация 56% нормы; амплитуда 0.10,True
AOI-0007,2019,0.39049518089801655,False,сильнее нормы,пик 144% нормы; суммарная вегетация 118% нормы; амплитуда 0.66,False
